dates,url,title,title_score,first_para,firstP_score,content_scores
2019-04-10,https://finance.yahoo.com/news/wair-vs-ba-stock-value-133001548.html,WAIR vs. BA: Which Stock Should Value Investors Buy Now?,0.34,Investors interested in Aerospace - Defense stocks are likely familiar with Wesco Aircraft Holdings (WAIR) and Boeing (BA). But which of these two stocks offers value investors a better bang for their buck right now? We'll need to take a closer look.,0.38083333333333336,0.42986250000000004
2019-03-26,https://finance.yahoo.com/news/boeing-ba-stock-outpacing-aerospace-133001572.html,Is The Boeing (BA) Stock Outpacing Its Aerospace Peers This Year?,0.0,"Investors interested in Aerospace stocks should always be looking to find the best-performing companies in the group. The Boeing (BA) is a stock that can certainly grab the attention of many investors, but do its recent returns compare favorably to the sector as a whole? One simple way to answer this question is to take a look at the year-to-date performance of BA and the rest of the Aerospace group's stocks.",0.34226666666666666,0.2779608695652174
2019-03-28,https://finance.yahoo.com/news/company-news-mar-28-2019-140402560.html,"Company News For Mar 28, 2019",0.0,"Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. Click to get this free report The Boeing Company (BA) : Free Stock Analysis Report Lennar Corporation (LEN) : Free Stock Analysis Report At Home Group Inc. (HOME) : Free Stock Analysis Report WellCare Health Plans, Inc. (WCG) : Free Stock Analysis Report Centene Corporation (CNC) : Free Stock Analysis Report To read this article on Zacks.com click here. Zacks Investment Research",0.419925,0.419925
2019-04-08,https://finance.yahoo.com/news/company-news-apr-8-2019-134701972.html,"Company News For Apr 8, 2019",0.0,"Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. Click to get this free report Citigroup Inc. (C) : Free Stock Analysis Report Johnson & Johnson (JNJ) : Free Stock Analysis Report The Boeing Company (BA) : Free Stock Analysis Report Triumph Group, Inc. (TGI) : Free Stock Analysis Report ABIOMED, Inc. (ABMD) : Free Stock Analysis Report To read this article on Zacks.com click here. Zacks Investment Research",0.42190000000000005,0.42190000000000005
2019-03-19,https://news.yahoo.com/boeing-ba-gains-market-dips-214509028.html,Boeing (BA) Gains As Market Dips: What You Should Know,0.34,"Boeing (BA) closed the most recent trading day at $374.26, moving +0.53% from the previous trading session. This move outpaced the S&P 500's daily loss of 0.01%. Meanwhile, the Dow lost 0.1%, and the Nasdaq, a tech-heavy index, added 0.12%.",-0.2121333333333333,0.17986363636363634
2019-03-12,https://finance.yahoo.com/news/why-boeing-ba-great-dividend-131501253.html,This is Why Boeing (BA) is a Great Dividend Stock,0.6249,Boeing in Focus,0.0,0.4186954545454546
2019-03-18,https://finance.yahoo.com/news/slow-week-economic-data-boeing-150503271.html,"Slow Week of Economic Data, Boeing (BA) Gets Subpoena",0.0,"Monday, March 18, 2019On an economic metric front, we have currently embarked on a relatively slow week. Aside from Thursday’s weekly jobless claims report and PMI numbers (both manufacturing and services) later in the week, we don’t see many potential needle-movers scheduled ahead of the bell any day this week. Today we get a new read on the March Home Builders’ Index, but this doesn’t come out until after the market opens.That said, and unbeknownst to many an investor, we have already begun Q1 2019 earnings season. Yes, it seems like Q4 just ended, but that’s how these things go: fiscal quarter-ends for many S&P 500 companies happen on “off” months; we thus have already heard from important industry leaders like Oracle ORCL, Adobe ADBE, Costco COST and AutoZone AZO.For a comprehensive update on what we already know about Q1 earnings to this point, don’t miss Zacks Director of Research Sheraz Mian’s latest Earnings Preview Report: Q1 Earnings Season Gets UnderwayBoeing BA has now gotten the attention of federal prosecutors, who are now investigating what led to 2 separate crashes of the Boeing 737 MAX plane in the past 6 months. A broad subpoena was issued a week ago by a grand jury in Washington DC as lawmakers try to get to the bottom of the airplane which has been grounded worldwide.Boeing stock, which had regained some traction after an initial selloff following last weekend’s crash of the 737 MAX outside Addis Ababa, Ethiopia which claimed the lives of 157 people, is down another 2% in early trading this morning.Mark VickerySenior EditorQuestions or comments about this article and/or its author? Click here>>",0.15033333333333335,0.32276875000000005
2019-03-28,https://finance.yahoo.com/news/why-boeing-ba-great-dividend-131501862.html,Why Boeing (BA) is a Great Dividend Stock Right Now,0.6249,Boeing in Focus,0.0,0.38574782608695657
2019-03-18,https://finance.yahoo.com/news/slow-week-economic-data-boeing-141202282.html,"Slow Week of Economic Data, Boeing (BA) Gets Subpoena",0.0,"Monday, March 18, 2019On an economic metric front, we have currently embarked on a relatively slow week. Aside from Thursday’s weekly jobless claims report and PMI numbers (both manufacturing and services) later in the week, we don’t see many potential needle-movers scheduled ahead of the bell any day this week. Today we get a new read on the March Home Builders’ Index, but this doesn’t come out until after the market opens.That said, and unbeknownst to many an investor, we have already begun Q1 2019 earnings season. Yes, it seems like Q4 just ended, but that’s how these things go: fiscal quarter-ends for many S&P 500 companies happen on “off” months; we thus have already heard from important industry leaders like Oracle ORCL, Adobe ADBE, Costco COST and AutoZone AZO.For a comprehensive update on what we already know about Q1 earnings to this point, don’t miss Zacks Director of Research Sheraz Mian’s latest Earnings Preview Report: Q1 Earnings Season Gets UnderwayBoeing BA has now gotten the attention of federal prosecutors, who are now investigating what led to 2 separate crashes of the Boeing 737 MAX plane in the past 6 months. A broad subpoena was issued a week ago by a grand jury in Washington DC as lawmakers try to get to the bottom of the airplane which has been grounded worldwide.Boeing stock, which had regained some traction after an initial selloff following last weekend’s crash of the 737 MAX outside Addis Ababa, Ethiopia which claimed the lives of 157 people, is down another 2% in early trading this morning.Mark VickerySenior EditorQuestions or comments about this article and/or its author? Click here>>",0.15033333333333335,0.32276875000000005
2019-03-18,https://finance.yahoo.com/news/boeing-ba-secures-250m-deal-152503683.html,Boeing (BA) Secures $250M Deal to Support LRSO Cruise Missile,0.6124,"The Boeing Company BA recently won a $250 million contract to offer weapon system integration for the Long Range Stand-Off (LRSO) Cruise Missile. Work related to the deal is scheduled to be completed by Dec 31, 2024.",0.1806,0.28535357142857143
