dates,url,title,title_score,first_para,firstP_score,content_scores
2019-03-21,https://finance.yahoo.com/news/netflix-nflx-gains-lags-market-214509488.html,Netflix (NFLX) Gains But Lags Market: What You Should Know,-0.0258,"Netflix (NFLX) closed the most recent trading day at $378.21, moving +0.8% from the previous trading session. This change lagged the S&P 500's 1.09% gain on the day. Elsewhere, the Dow gained 0.84%, while the tech-heavy Nasdaq added 1.42%.",0.22593333333333332,0.27295
2019-03-14,https://finance.yahoo.com/news/netflix-nflx-dips-more-broader-214509528.html,Netflix (NFLX) Dips More Than Broader Markets: What You Should Know,0.0,"In the latest trading session, Netflix (NFLX) closed at $358.82, marking a -0.66% move from the previous day. This change lagged the S&P 500's daily loss of 0.09%. At the same time, the Dow added 0.03%, and the tech-heavy Nasdaq lost 0.16%.",-0.28683333333333333,0.19118484848484854
2019-03-29,https://news.yahoo.com/netflix-nflx-q1-earnings-preview-212409542.html,"Netflix (NFLX) Q1 Earnings Preview: International Sales, Subscribers & More",0.0,"Shares of Netflix NFLX have climbed over 33% this year, but have slowed recently. This might mean that investors who bought Netflix stock on the dip right after Christmas are now waiting to see the streaming TV power’s actual first quarter earnings results that are due out on April 16.",0.07655,0.2181688311688312
2019-03-22,https://finance.yahoo.com/news/3-blue-chip-stocks-buy-203608411.html,3 Blue-Chip Stocks to Buy Right Now,0.0,"The S&P 500 has surged over 14% in 2019, driven by growth from tech giants such as Netflix NFLX, Facebook FB, and Amazon AMZN. With that said, no matter how long the current rally lasts, it is always a good idea to search for strong companies that look poised to run impressive businesses for years to come. ",0.68305,0.369591304347826
2019-03-21,https://finance.yahoo.com/news/buy-apple-aapl-stock-22-172705979.html,Buy Apple (AAPL) Stock Up 22% in 2019 Before Streaming Video Launch?,0.0,"Shares of Apple AAPL climbed over 3.4% in morning trading Thursday as buzz builds regarding the highly anticipated unveiling of its new streaming video service that hopes to challenge Amazon Prime AMZN, Netflix NFLX, and Disney DIS. The climb is part of a larger 2019 comeback, which begs the question is now the time to buy Apple stock?",0.3592,0.24866744186046516
2019-03-26,https://finance.yahoo.com/news/netflix-competition-steepens-broader-streaming-172305585.html,Netflix Competition Steepens in Broader Streaming Space,0.0,"Netflix NFLX is one of those stocks that you look at now and say to yourself if only I would have bought 2 years ago, “I knew this stock would do well” with that 20/20 hindsight all investors suffer from (NFLX vs. S&P 500 2 year performance below). Currently trading at $360, we now need to reevaluate our positions (or lack of) in NFLX and assess if this seemingly exponential growth is going to continue. This behemoth in the subscription streaming services space is going to be facing some fierce competition for market share. Amazon AMZN Prime Video has really upped its game in original content, Hulu has been able to gain exclusive content that makes it a must-have for some, and Apple AAPL just announced yesterday that it’s releasing its own subscription streaming service.",0.15385,0.36460882352941176
2019-03-29,https://finance.yahoo.com/news/3-blue-chip-stocks-buy-192007606.html,"3 Blue-Chip Stocks to Buy Right Now: CMCSA, FB, SBUX",0.0,"The S&P 500 has climbed roughly 12% in 2019, driven by growth from tech giants such as Netflix NFLX. With that said, no matter how long the current rally lasts, it is always a good idea to search for strong companies that look poised to run impressive businesses for years to come. Therefore, we have highlighted three large-cap giants that look like buys at the moment.",0.5328333333333334,0.40331276595744675
2019-04-01,https://finance.yahoo.com/news/apple-aapl-stock-outlook-q2-205608354.html,"Apple (AAPL) Stock Outlook: Q2 Earnings, iPhone Sales & Services Growth",0.3818,"Shares of Apple AAPL have climbed over 20% this year, along with FAANG peers Netflix NFLX and Facebook FB, to outpace the S&P 500’s 13% jump. Apple and CEO Tim Cook hope that new Services like Apple TV+ will propel long-term growth for the tech titan. But despite its new offerings and its 2019 climb, Apple’s near-term outlook appears rough, especially in terms of iPhone sales.",0.3622,0.22773714285714286
2019-03-27,https://finance.yahoo.com/news/decker-halliburton-netflix-amazon-apple-125812059.html,"Decker, Halliburton, Netflix, Amazon and Apple highlighted as Zacks Bull and Bear of the Day",0.1779,"Chicago, IL – March 27, 2019 – Zacks Equity Research Decker Brands DECK as the Bull of the Day, Halliburton Company HAL asthe Bear of the Day. In addition, Zacks Equity Research provides analysis on Netflix NFLX, Amazon AMZN and Apple AAPL.",0.08895,0.20864639175257726
2019-03-13,https://finance.yahoo.com/news/options-traders-expect-huge-moves-125012505.html,Options Traders Expect Huge Moves in Akorn (AKRX) Stock,0.3182,"Investors in Akorn, Inc. AKRX need to pay close attention to the stock based on moves in the options market lately. That is because the Mar 15, 2019 $4.00 Call had some of the highest implied volatility of all equity options today.What is Implied Volatility?Implied volatility shows how much movement the market is expecting in the future. Options with high levels of implied volatility suggest that investors in the underlying stocks are expecting a big move in one direction or the other. It could also mean there is an event coming up soon that may cause a big rally or a huge sell off. However, implied volatility is only one piece of the puzzle when putting together an options trading strategy.What do the Analysts Think?Clearly, options traders are pricing in a big move for Akorn shares, but what is the fundamental picture for the company? Currently, Akorn is a Zacks Rank #3 (Hold) in the Medical - Generic Drugs that ranks in the Bottom 44% of our Zacks Industry Rank. Over the last 30 days, our Zacks Consensus Estimate for the current quarter moved from earnings of 9 cents per share to a loss of 13 cents.Given the way analysts feel about Akorn right now, this huge implied volatility could mean there’s a trade developing. Often times, options traders look for options with high levels of implied volatility to sell premium. This is a strategy many seasoned traders use because it captures decay. At expiration, the hope for these traders is that the underlying stock does not move as much as originally expected.Looking to Trade Options?Each week, our very own Dave Bartosiak gives his top options trades. Check out his recent live analysis and options trade for NFLX earnings report completely free. See it here: Bartosiak: Trading Netflix's (NFLX) Earnings with Options or check out the embedded video below for more details:",0.12906666666666666,0.23086666666666666
