,Date,Open,High,Low,Close,Adj Close,Volume,Label,Closeopendiff
0,3/11/19,371.269989,402.670013,365.549988,400.01001,400.01001,34742200,1,28.740021
1,3/12/19,384.709991,390,368,375.410004,375.410004,36922600,0,-9.299987
2,3/13/19,378.429993,381.769989,363.329987,377.140015,377.140015,32662300,0,-1.289978
3,3/14/19,374.98999,380.390015,372.100006,373.299988,373.299988,13514100,0,-1.690002
4,3/15/19,370.880005,385.709991,366.450012,378.98999,378.98999,26697700,1,8.109985
5,3/18/19,370,373.070007,367.200012,372.279999,372.279999,13119200,1,2.279999
6,3/19/19,371.140015,378.769989,371.01001,373.429993,373.429993,9856100,1,2.289978
7,3/20/19,374.700012,380.799988,373.679993,376.160004,376.160004,8737600,1,1.459992
8,3/21/19,374.040009,377,372.230011,372.700012,372.700012,6951000,0,-1.339997
9,3/22/19,368.790009,369.859985,361.529999,362.170013,362.170013,10143900,0,-6.619996
10,3/25/19,365,371.209991,362.890015,370.459991,370.459991,7939600,1,5.459991
11,3/26/19,375.579987,375.600006,367.600006,370.380005,370.380005,6479700,0,-5.199982
12,3/27/19,371.890015,376.660004,365.549988,374.209991,374.209991,9600000,1,2.319976
13,3/28/19,376.600006,376.660004,372.329987,374.440002,374.440002,4921300,0,-2.160004
14,3/29/19,376.519989,382.179993,374.73999,381.420013,381.420013,7694700,1,4.900024
15,4/1/19,385.799988,392.899994,383.100006,391.540009,391.540009,7735700,1,5.740021
16,4/2/19,388.5,394.829987,388.5,390.75,390.75,6401000,1,2.25
17,4/3/19,389.679993,391.540009,384.070007,384.73999,384.73999,7350300,0,-4.940003
18,4/4/19,385.98999,397.059998,385.100006,395.859985,395.859985,9388100,1,9.869995
19,4/5/19,398.070007,398.660004,390.950012,391.929993,391.929993,6857200,0,-6.140014
20,4/8/19,376.200012,379.799988,371.859985,374.519989,374.519989,14482600,0,-1.680023
21,4/9/19,370.290009,372.23999,367.75,369.040009,369.040009,7974400,0,-1.25
