,Date,Open,High,Low,Close,Adj Close,Volume,Label,Closeopendiff
0,3/11/19,171.600006,174.300003,171.580002,172.070007,172.070007,18884000,1,0.470001
1,3/12/19,172.089996,173.800003,171.220001,171.919998,171.919998,12155300,0,-0.169998
2,3/13/19,172.320007,174.029999,172.119995,173.369995,173.369995,11973300,1,1.049988
3,3/14/19,169.759995,171.149994,168.160004,170.169998,170.169998,18037400,1,0.410003
4,3/15/19,167.160004,167.580002,162.509995,165.979996,165.979996,37135400,0,-1.180008
5,3/18/19,163.570007,163.899994,159.279999,160.470001,160.470001,37524200,0,-3.100006
6,3/19/19,161.479996,163.820007,160.820007,161.570007,161.570007,25611500,1,0.090011
7,3/20/19,161.5,166.119995,161.240005,165.440002,165.440002,20211500,1,3.940002
8,3/21/19,164.889999,166.389999,163.75,166.080002,166.080002,16223000,1,1.190003
9,3/22/19,165.649994,167.419998,164.089996,164.339996,164.339996,16389200,0,-1.309998
10,3/25/19,163,166.539993,162,166.289993,166.289993,12631200,1,3.289993
11,3/26/19,167.350006,169.449997,166.350006,167.679993,167.679993,15437900,1,0.329987
12,3/27/19,167.850006,168.940002,164.789993,165.869995,165.869995,10620300,0,-1.980011
13,3/28/19,164.570007,166.720001,163.330002,165.550003,165.550003,10689200,1,0.979996
14,3/29/19,166.389999,167.190002,164.809998,166.690002,166.690002,13455500,1,0.300003
15,4/1/19,167.830002,168.899994,167.279999,168.699997,168.699997,10381500,1,0.869995
16,4/2/19,170.139999,174.899994,169.550003,174.199997,174.199997,23946500,1,4.059998
17,4/3/19,174.5,177.960007,172.949997,173.539993,173.539993,27590100,0,-0.960007
18,4/4/19,176.020004,178,175.529999,176.020004,176.020004,17847700,1,0
19,4/5/19,176.880005,177,175.100006,175.720001,175.720001,9594100,0,-1.160004
20,4/8/19,175.210007,175.5,174.229996,174.929993,174.929993,7297400,0,-0.280014
21,4/9/19,175.619995,179.190002,175.550003,177.580002,177.580002,19617300,1,1.960007
