dates,url,title,title_score,first_para,firstP_score,content_scores
2019-04-04,https://www.marketwatch.com/story/boeing-ceo-apologizes-for-crashes-says-fix-is-a-few-weeks-away-2019-04-04,"Boeing CEO apologizes for crashes, says fix is a few weeks away",0.3612,"Boeing 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.45%

                            
                                  
      
      
      
      
      
      
      
                                          is “taking a comprehensive, disciplined approach, and taking the time, to get the software update right. We’re nearing completion and anticipate its certification and implementation on the 737 Max fleet worldwide in the weeks ahead,” he said, adding apologies to airlines and passengers for the jets’ worldwide grounding. ",0.25,0.01780416666666668
2019-03-12,https://www.marketwatch.com/story/warren-calls-for-congress-to-question-if-trump-is-protecting-boeing-2019-03-12,Key Words: Warren calls for Congress to question if Trump is protecting Boeing,0.0,"In an email sent from her presidential campaign account, Massachusetts Democrat Warren made reference to sales of military equipment, including Boeing 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.45%

                            
                                  
      
      
      
      
      
      
      
                                          planes, to Saudi Arabia. ",0.0,-0.019049999999999997
2019-03-12,https://www.marketwatch.com/story/check-out-this-graphic-and-sleep-tight-on-your-retirement-account-2019-03-12,In One Chart: Check out this graphic and sleep tight on your retirement account,0.0,"“On a long enough timeline, the survival rate for everyone drops to zero.” ",0.0,0.11029230769230769
2019-03-28,https://www.marketwatch.com/story/boeing-has-a-lot-of-work-to-do-very-promptly-says-buffett-2019-03-28,"The Tell: ‘Boeing has a lot of work to do, very promptly’ says Buffett",0.0,"The Boeing 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.44%

                            
                                  
      
      
      
      
      
      
      
                                         737 Max was grounded world-wide on March 13 on an executive order by President Donald Trump soon after a deadly crash involving a Max in Ethiopia on March 10, coming less than five months after a Lion Air crash in Indonesia. (U.S. airlines are allowed to shuttle the planes since but cannot carry passengers.)",-0.4019,0.08084736842105263
2019-03-13,https://www.marketwatch.com/story/durable-goods-orders-rise-in-january-for-3rd-straight-month-and-investment-rebounds-2019-03-13,Economic Report: Durable-goods orders rise in January for 3rd straight month and investment rebounds,0.2263," Market reaction: The Dow Jones Industrial Average 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    DJIA, +0.16%

                            
                                  
      
      
      
      
      
      
      
                                         and S&P 500 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    SPX, +0.12%

                            
                                  
      
      
      
      
      
      
      
                                         opened slightly higher in Wednesday trades. The Dow was dragged down on Tuesday by sharp losses in Boeing 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.44%

                            
                                  
      
      
      
      
      
      
      
                                         after a number of countries grounded the 737 Max following the second deadly crash in six months. ",-0.6486,0.02126363636363637
2019-03-11,https://www.marketwatch.com/story/london-markets-climb-mining-shares-boost-ftse-100-2019-03-11,London Markets: London markets climb; mining shares boost FTSE 100,0.5994,"Budget airline Ryanair Holdings PLC

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    RYA, +5.43%

                            
                                  
      
      
      
      
      
      
      
                                         a customer of Boeing Co 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.44%

                            
                                  
      
      
      
      
      
      
      
                                         lost more than 2% on Monday after a Boeing 737 MAX 8 plane crashed while flying for Ethiopian Airline on Sunday, killing all 157 people on board. ",-0.7717,-0.0038444444444444372
2019-03-13,https://www.marketwatch.com/story/wholesale-prices-creep-higher-in-february-but-inflation-poses-little-threat-ppi-shows-2019-03-13,"Economic Report: Wholesale prices creep higher in February, PPI shows, but inflation poses little threat",-0.6322," Market reaction: The Dow Jones Industrial Average 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    DJIA, +0.16%

                            
                                  
      
      
      
      
      
      
      
                                         and S&P 500 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    SPX, +0.12%

                            
                                  
      
      
      
      
      
      
      
                                         opened slightly higher in Wednesday trades. The Dow was dragged down on Tuesday by sharp losses in Boeing 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.46%

                            
                                  
      
      
      
      
      
      
      
                                         after a number of countries grounded the 737 Max following the second deadly crash in six months. ",-0.6486,-0.019680769230769224
2019-03-11,https://www.marketwatch.com/story/european-markets-positive-ahead-of-crucial-brexit-vote-commerzbank-adds-4-2019-03-11,Europe Markets: European markets positive ahead of crucial Brexit vote; Commerzbank adds 4%,0.5574,"China’s aviation regulator has ordered its airlines to suspend the operation of Boeing 737 Max 8 planes after the crash of Ethiopian Airlines flight 302, leading to 9% drop in the heavily weighted Boeing Co 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.46%

                            
                                  
      
      
      
      
      
      
      
                                         Shares of Ryanair Holdings PLC 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    RY4C, +5.24%

                            
                                  
      
      
      
      
      
      
      
                                         which uses the 737 Max within its fleet, fell 1.8% ",-0.5994,0.1847842105263158
2019-03-14,https://www.marketwatch.com/story/as-congress-readies-for-hearings-heres-a-look-at-boeings-influence-in-washington-2019-03-14,"Capitol Report: As Congress readies for hearings, here’s a look at Boeing’s influence in Washington",0.0,"Boeing 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.39%

                            
                                  
      
      
      
      
      
      
      
                                          ranks No. 10 on lobbying spending since 1998, according to the Center for Responsive Politics, a nonpartisan group that tracks money in politics. That puts the aerospace giant behind powerhouse organizations like the U.S. Chamber of Commerce and the AARP, but ahead of competitors including Lockheed Martin 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    LMT, +0.93%
",0.1901,0.044675
2019-03-12,https://www.marketwatch.com/story/boeings-737-max-jet-has-now-been-grounded-by-these-countries-2019-03-12,The Tell: Boeing’s 737 Max jet has now been grounded by these countries,0.0,"President Trump used an executive order to ground, “effective immediately,” all 737 Max 8 planes, joining a flurry of countries and air carriers, ranging from Canada to Malaysia, that placed restrictions on Boeing Co.’s

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.46%

                            
                                  
      
      
      
      
      
      
      
                                        737 Max 8 jets, or variants, over the past three days.",0.0,6.896551724138511e-05
2019-03-12,https://www.marketwatch.com/story/flight-attendants-union-requests-faa-investigation-into-boeing-737-max-2019-03-12,Flight attendants union requests FAA investigation into Boeing 737 Max,0.0,"Flight attendants are calling on the Federal Aviation Administration to conduct an investigation into the safety of the Boeing 737 Max 8 aircraft 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.46%
",0.4215,0.06268823529411764
2019-03-14,https://www.marketwatch.com/story/etfs-are-compounding-the-divergence-between-the-dow-and-the-nasdaq-100-2019-03-14,Outside the Box: ETFs are compounding the divergence between the Dow and the Nasdaq-100,0.0,"Boeing

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.46%

                            
                                  
      
      
      
      
      
      
      
                                         has dragged the Dow

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    DJIA, +0.16%

                            
                                  
      
      
      
      
      
      
      
                                          down, while Apple

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    AAPL, +0.03%

                            
                                  
      
      
      
      
      
      
      
                                         has driven the Nasdaq 100

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    NDX, -0.04%

                            
                                  
      
      
      
      
      
      
      
                                          higher so far this week; this is relatively clear when looking at the headlines too, but the ETF influence is not as clear.",0.6249,0.24846500000000002
2019-03-12,https://www.marketwatch.com/story/airline-stocks-fall-even-those-without-737-max-exposure-2019-03-12,"Airline stocks fall, even those without 737 Max exposure",0.0,"Boeing’s stock

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.46%

                            
                                  
      
      
      
      
      
      
      
                                         tumbled 6.0%, after shedding 5.3% on Monday. The combined drop of 11.0% is the biggest two-day selloff in nearly 10 years. The extended selloff comes despite the U.S. Federal Aviation Association saying it had no plan to ground the jet, as more than a dozen aviation regulators and air carriers from overseas have banned the 737 Max 8 and a number of congressional leaders have called for a grounding.",-0.7184,0.02766249999999999
2019-04-09,https://www.marketwatch.com/story/us-job-openings-fall-in-february-to-lowest-level-in-nearly-a-year-2019-04-09,Economic Report: U.S. job openings fall sharply to the lowest level in nearly a year,-0.3818," Market reaction: The Dow Jones Industrial Average 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    DJIA, +0.14%

                            
                                  
      
      
      
      
      
      
      
                                         and S&P 500 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    SPX, +0.12%

                            
                                  
      
      
      
      
      
      
      
                                         fell in Tuesday trades. The Dow was held back again by Boeing 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.27%

                            
                                  
      
      
      
      
      
      
      
                                         as the world’s largest airplane manufacturer struggles with the fallout from faulty software on its next-generation planes. ",-0.5859,-0.06626666666666667
2019-03-14,https://www.marketwatch.com/story/london-markets-climb-after-parliament-rule-out-a-no-deal-brexit-miners-slip-on-china-data-2019-03-14,London Markets: London markets climb after parliament rule out a no-deal Brexit; miners slip on China data,0.0,"Travel company TUI AG 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    TUI1, +6.04%

                            
                                  
      
      
      
      
      
      
      
                                         gained just under 2%, while aerospace company BAE Systems 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA., +0.87%

                            
                                  
      
      
      
      
      
      
      
                                         climbed 1%.",0.3818,0.0649423076923077
2019-04-09,https://www.marketwatch.com/story/asia-stocks-struggle-for-gains-as-investors-watch-trade-issues-2019-04-09,Asia Markets: Asia stocks struggle for gains as investors watch trade issues,0.0258,"Boeing 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.46%

                            
                                  
      
      
      
      
      
      
      
                                         slumped 4.4% after saying Friday that it will cut production of its 737 Max plane. Regulators around the world grounded that model after it was involved in two fatal crashes.",-0.6808,-0.008608823529411768
2019-03-19,https://www.marketwatch.com/story/faa-on-sullenberger-criticisms-of-boeing-737-max-certification-process-consistently-produced-safe-aircraft-designs-2019-03-19,FAA on Sullenberger criticisms of Boeing 737 Max: Certification process ‘consistently produced safe aircraft designs’,0.25,"Boeing 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.46%

                            
                                  
      
      
      
      
      
      
      
                                         did not respond to requests for comment.",0.0,0.1379181818181818
2019-03-13,https://www.marketwatch.com/story/stock-market-poised-for-tepid-rise-but-dow-remains-under-pressure-amid-boeing-737-8-woes-2019-03-13,"Market Snapshot: Stock market poised for tepid rise, but Dow remains under pressure amid Boeing 737 8 woes",-0.7311," Boeing Co. 
BA, +1.30%

                            
                                  
      
      
      
      
      
      
      
                                         shares rose 0.5%. President Donald Trump told reporters that U.S. regulators will ground 737 Max 8 and 9 aircraft in line with similar decisions in other countries. However, industry experts said that although Boeing’s reputation will suffer, the latest incidents are not likely to have a lasting impact on the company. Boeing shares are down more than 14% so far this month.",-0.0258,0.12322424242424242
2019-03-11,https://www.marketwatch.com/story/airline-stocks-tumble-after-second-deadly-crash-involving-boeings-737-max-2019-03-11,Airline stocks tumble after second deadly crash involving Boeing’s 737 Max,-0.4019,"Boeing shares

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.45%

                            
                                  
      
      
      
      
      
      
      
                                        slid more than 11% premarket but were down about 6.9% in official trade, on the news that the aircraft operated by Ethiopian Airlines crashed shortly after taking off from the capital of Addis Ababa, killing all 157 people on board. In October, the same plane, operated by Indonesia Lion Air, crashed into the sea, killing all 189 passengers on board. China’s civilian aviation authority has ordered all airlines to ground Max 8 planes, while Ethiopian Airlines has grounded its entire fleet of the model. ",-0.9209,-0.011435897435897433
2019-03-26,https://www.marketwatch.com/story/boeings-crisis-management-around-the-737-max-is-all-wrong-2019-03-26,Outside the Box: Here’s how Boeing should fix its crisis management around the 737 Max,-0.6249,"That’s exactly what’s happening to Boeing

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.45%
",0.0,-0.026107692307692307
2019-03-18,https://www.marketwatch.com/story/in-boeing-crash-look-at-automatic-control-systems-2019-03-18,"The Conversation: In Boeing crash, look at automatic control systems",-0.4019,"Emerging evidence from the recent crash in Ethiopia suggests that malfunctioning automatic control systems overwhelmed the crew and doomed the flight. Based on my analysis, it appears that the Ethiopian Airlines crew followed the standard procedures found in the Boeing

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.45%

                            
                                  
      
      
      
      
      
      
      
                                         737 pilots operating handbook and flight crew operations manual.",-0.7717,-0.0899923076923077
2019-03-12,https://www.marketwatch.com/story/us-canada-keep-737-max-8-in-the-air-and-thats-about-the-only-good-news-for-boeing-2019-03-12,"U.S., Canada keep 737 Max 8 in the air, and that’s about the only good news for Boeing",0.4404,"Hundreds of Boeing 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.45%

                            
                                  
      
      
      
      
      
      
      
                                         Max jets around the world have been grounded following the second fatal crash by that model in less than five months. But Canada’s move will complicate transatlantic routes out of the U.S. which often fly over that country en route to Europe. ",-0.7351,-0.20387333333333338
2019-04-08,https://www.marketwatch.com/story/boeings-stock-drags-dow-lower-as-surprise-production-cuts-spook-market-2019-04-08,Boeing’s stock drags Dow lower as surprise production cuts spook market,-0.4588,"Boeing’s stock

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.45%

                            
                                  
      
      
      
      
      
      
      
                                         fell 4.4% in afternoon trade, to pace the Dow Jones Industrial Average’s

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    DJIA, +0.17%

                            
                                  
      
      
      
      
      
      
      
                                         decliners. The price decline of $17.41 chopped about 118 points off the price of the Dow, which fell 84 points. See Market Snapshot.",0.0,0.021932258064516142
2019-03-14,https://www.marketwatch.com/story/stock-futures-edge-lower-as-investors-weigh-weak-china-data-brexit-drama-2019-03-14,"Market Snapshot: Stock futures edge lower as investors weigh weak China data, Brexit drama",-0.6249," Boeing Co. 
BA, +1.45%

                            
                                  
      
      
      
      
      
      
      
                                         shares fell 1% after U.S. regulators grounded 737 Max 8 and 9 aircraft in line with similar decisions in other countries. ",0.296,-0.000802857142857148
2019-03-13,https://www.marketwatch.com/story/heres-what-robots-destroy-when-they-compete-with-humans-2019-03-13,Here’s what robots destroy when they compete with humans,-0.5423,"President Donald J. Trump brought up his own concerns Tuesday, not about automation, but creeping computer overcomplexity in the context of the recent Ethiopian Airlines crash of a Boeing

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    BA, +1.45%

                            
                                  
      
      
      
      
      
      
      
                                          737 MAX 8. Trump tweeted, “pilots are no longer needed, but rather computer scientists from MIT. I see it all the time in many products. Always seeking to go one unnecessary step further, when often old and simpler is far better.”",-0.7469,0.012602857142857148
