dates,content_score,title_score,firstP_score,category
2019-03-14,-0.048283333333333324,0.0,0.3182,businessinsider
2019-03-11,0.05558888888888888,-0.4767,0.128,businessinsider
2019-03-20,0.2850933333333333,0.4019,0.23835,businessinsider
2019-03-17,-0.005658333333333339,0.0,-0.0258,businessinsider
2019-03-29,0.13565500000000005,0.0,0.0,businessinsider
2019-03-27,-0.2358769230769231,-0.5719,-0.2997,businessinsider
2019-04-05,0.2490913043478261,-0.0516,0.5141,businessinsider
2019-03-12,0.20967368421052635,0.1531,0.16770000000000002,businessinsider
2019-04-03,0.2193285714285714,0.34,0.23835,businessinsider
2019-04-01,0.216335,0.4588,0.765,businessinsider
2019-03-19,0.35012000000000004,0.5859,0.0,businessinsider
2019-03-29,0.18345,0.34,0.6486,businessinsider
2019-04-02,0.2232668539325841,0.0,0.2609,businessinsider
2019-03-13,0.07491666666666667,0.4404,0.2732,businessinsider
2019-03-13,0.06617500000000001,-0.4019,-0.4404,businessinsider
2019-03-29,-0.003460344827586206,-0.29600000000000004,-0.2263,businessinsider
2019-03-14,0.0,0.0,0.0,businessinsider
2019-03-18,0.034126315789473685,0.0,-0.5994,businessinsider
2019-03-13,0.03411249999999999,0.0,0.0,businessinsider
2019-03-27,-0.190364,0.0,-0.25,businessinsider
2019-03-19,0.104825,0.0,0.2732,businessinsider
2019-03-14,0.0,0.0,0.0,businessinsider
2019-03-19,0.06733333333333334,-0.34,-0.2263,businessinsider
2019-03-22,-0.13129444444444446,-0.2732,-0.2732,businessinsider
2019-04-03,0.1095315789473684,-0.0772,-0.0772,businessinsider
2019-03-11,0.2508,0.6369,0.0516,businessinsider
2019-03-14,0.3582966666666668,0.0,-0.1531,businessinsider
2019-04-10,-0.3120153846153846,-0.4767,-0.8126,businessinsider
2019-03-18,0.0261,-0.7845,-0.0772,businessinsider
2019-03-11,0.2378235294117647,0.4005,0.0516,businessinsider
2019-04-07,0.4121476190476191,0.802,0.6716500000000001,businessinsider
2019-04-02,0.17135882352941176,0.0,-0.20172,businessinsider
2019-04-04,0.21835666666666667,-0.2263,0.06056666666666668,businessinsider
2019-03-18,0.034126315789473685,0.0,-0.5994,businessinsider
2019-03-17,0.24097200000000005,0.4939,0.3182,businessinsider
2019-04-03,-0.02670392156862744,0.5423,-0.3818,businessinsider
2019-03-29,0.183659375,-0.5423,0.6808,businessinsider
