dates,url,title,title_score,first_para,firstP_score,content_scores
2019-03-12,https://news.yahoo.com/facebook-pulls-then-restores-warren-ads-aimed-big-025011808.html,Facebook pulls but then restores Warren ads aimed at Big Tech,0.4215,"""Curious why I think FB has too much power?"" Warren said in a message fired off on Twitter.",-0.3182,0.11896333333333334
2019-03-18,https://finance.yahoo.com/news/company-news-mar-18-2019-140702619.html,"Company News For Mar 18, 2019",0.0,"Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. Click to get this free report Facebook, Inc. (FB) : Free Stock Analysis Report Adobe Systems Incorporated (ADBE) : Free Stock Analysis Report Zumiez Inc. (ZUMZ) : Free Stock Analysis Report Ulta Beauty Inc. (ULTA) : Free Stock Analysis Report To read this article on Zacks.com click here. Zacks Investment Research",0.9785,0.42045
2019-03-26,https://finance.yahoo.com/news/facebook-fb-stock-looks-buy-221010309.html,Facebook (FB) Stock Looks Like a Buy as Apple & Amazon Face Slowdown,0.4939,"Facebook FB shares, like Netflix NFLX and other tech giants, have bounced back in a big way in 2019 to crush the S&P 500’s larger comeback. Despite the climb, shares of FB still rest far below their summer 2018 highs and Facebook’s growth outlook appears solid despite all of the controversies surrounding the social media powerhouse, especially compared to the likes of Apple AAPL as iPhone sales slump.",0.8834,0.29234615384615387
2019-03-14,https://finance.yahoo.com/news/facebook-fb-dips-more-broader-214509710.html,Facebook (FB) Dips More Than Broader Markets: What You Should Know,0.0,"Facebook (FB) closed at $170.18 in the latest trading session, marking a -1.84% move from the prior day. This change lagged the S&P 500's 0.09% loss on the day. Elsewhere, the Dow gained 0.03%, while the tech-heavy Nasdaq lost 0.16%.",-0.4939,0.22470000000000004
2019-04-09,https://finance.yahoo.com/news/facebook-fb-gains-market-dips-214509484.html,Facebook (FB) Gains As Market Dips: What You Should Know,0.34,"Facebook (FB) closed at $177.58 in the latest trading session, marking a +1.51% move from the prior day. This change outpaced the S&P 500's 0.61% loss on the day. Elsewhere, the Dow lost 0.72%, while the tech-heavy Nasdaq lost 0.56%.",-0.7096,0.19504545454545455
2019-03-25,https://finance.yahoo.com/news/facebook-unveils-oculus-rift-headset-204708028.html,"Facebook Unveils Oculus Rift S Headset, Ups the Ante in VR",0.0,"In a bid to popularize its virtual reality offerings among the masses, Facebook FB has unveiled a new virtual reality (VR) headset – Oculus Rift S. Notably, the social media giant has partnered with Lenovo LNVGY to introduce significant changes in the latest version of its VR headset.",0.4767,0.3415185185185185
2019-03-28,https://finance.yahoo.com/news/facebook-fb-4-other-internet-122412722.html,Facebook (FB) & 4 Other Internet Stocks to Snap Up in 2019,0.0,"Internet, ubiquitous in this digital era, is modernizing various aspects of life. Governments and enterprises around the globe are undertaking initiatives to expand Internet availability. Per the latest update provided by InternetWorldStats in March, 2019, global Internet penetration came in at 56.1%.Internet stocks are benefitting from secular growth in the e-commerce segment, growing clout of social-media platforms as well as expanding online delivery services.The optimism surrounding Internet stocks can be substantiated by robust year-to-date performance. Notably, the Invesco NASDAQ Internet ETF (PNQI) and First Trust Dow Jones Internet ETF (FDN) returned 20.9% and 17.6%, respectively, on a year-to-date basis compared with the S&P 500’s rise of 13.1%.Growth Prospects AboundImprovement in Internet speed, rapid adoption of 4G Volte technology and accelerated deployment of 5G are paving way for ample growth opportunities in the space. Growing Internet penetration in Africa and South East Asia, higher spending power as well as rapid adoption of smartphones fuel optimism.Furthermore, growing proliferation of artificial intelligence (“AI”), cloud, Internet of Things (“IoT”), autonomous cars and wearables amplifies growth prospects. Increasing allegiance to online gaming, music and video streaming services also deserves a special mention.The omnipresence of Internet has provided the companies with greater access to information from users that is assisting the companies to develop AI-based automated tools.Notably, per recent IDC estimates, the global datasphere will grow to 175 zettabytes (that is a trillion gigabytes) by 2025, from 33 zettabytes in 2018. The secular growth trend in data is expected to aid the Internet companies in making their solutions smarter with infused AI capabilities.Facebook Benefits MostFacebook FB estimates that more than 2.7 billion people use its “Family” of services, which includes Facebook, WhatsApp, Instagram and Messenger on a monthly basis.Also, Facebook holds a notable market share in the U.S digital ad market. In fact, growth in mobile ad revenues, driven by robust performance of Instagram Stories and an expanding user base, favor the company’s growth prospects in 2019.Further, the company’s plan to expand “Shopping on Instagram” is estimated to be a major growth driver. The growing appeal of the company’s Workplace platform, which has now more than two million paid users, is another key catalyst.Additionally, the company’s plan to integrate messaging apps — WhatsApp, Instagram, and Messenger — will boost user experience by making the services more secure through end-to-end encryption.Facebook’s initiatives to curb fake news menace and data breaches hold promise. Moreover, the company is targeting growth markets with Oculus and other VR headsets as well as blockchain initiatives, which bode well for its financial performance in the longer haul.Long-term earnings growth rate is pegged at 18.2%. With Growth Score of B, this Zacks Rank #2 (Buy) stock deserves a place in investors’ portfolio.Our Growth Style Score condenses all the essential metrics from the company’s financial statements to achieve a true sense of quality and sustainability of its growth. Our research shows that stocks with Growth Style Scores of A or B when combined with a Zacks Rank #1 (Strong Buy) or 2 offer the best investment opportunities in the growth investing space.Notably, shares of Facebook have returned 26.6% on a year-to-date basis.4 Other Internet Stocks with Strong PotentialFacebook is not the only stock in the Internet space that has attractive growth prospects.Moreover, all the stocks listed below have delivered average positive earnings surprises in the preceding four quarters. Further, like Facebook, each of the stocks has outperformed the S&P 500 Composite on a year-to-date basis.Year to Date Price PerformanceeGain Corporation EGAN is benefiting from robust adoption of Software-as-a-Service (“SaaS”) and on-premise business-to-consumer (“B2C”) customer engagement solutions. In fact, the company’s solutions have been adopted by notable enterprise customers that include Avon, Comcast, Fiserv and Vodafone, among others.eGain, which sports a Zacks Rank #1 and Growth Score of A, pulled off an average positive earnings surprise of 288.9% in the trailing four quarters. You can see the complete list of today’s Zacks #1 Rank stocks here.The company’s long-term earnings growth rate is pegged at 30%.Autohome Inc. ATHM offers an online destination for automobile consumers, primarily in the People's Republic of China. The company is expected to benefit from growing traffic in its Websites, autohome.com.cn and che168.com.This Zacks Rank #1 stock has delivered an average positive earnings surprise of 9.5% in the trailing four quarters. It has a Growth Score of B.Autohome’s long-term earnings growth rate is pegged at 29.4%.Akamai Technologies Inc. AKAM is a global provider of content delivery network (""CDN"") and cloud infrastructure services.The company is benefiting from growing influence of its security solutions among media customers. Robust over-the top (""OTT"") content viewing, higher adoption of mobile data/apps and growing mobile data traffic are key catalysts.This Zacks Rank #2 stock has delivered an average positive earnings surprise of 9.5% in the trailing four quarters. It has a Growth Score of A.The company’s long-term earnings growth rate is pegged at 14.7%.JD.com JD is a notable e-commerce company based out of People's Republic of China. The companyis benefiting from robust e-commerce business, improving logistics services and supply chain management system.Also, its retail-as-a-service strategy is gaining momentum in the market on the back of useful retail infrastructure solutions.Additionally, growing number of flagship stores of international brands on the company’s platform are helping it to enhance product offerings.This Zacks Rank #2 stock has a Growth Score of A. The company has pulled off an average positive earnings surprise of 60% in the trailing four quarters.Zacks' Top 10 Stocks for 2019In addition to the stocks discussed above, would you like to know about our 10 finest buy-and-holds for the year?Who wouldn't? Our annual Top 10s have beaten the market with amazing regularity. In 2018, while the market dropped -5.2%, the portfolio scored well into double-digits overall with individual stocks rising as high as +61.5%. And from 2012-2017, while the market boomed +126.3, Zacks' Top 10s reached an even more sensational +181.9%.See Latest Stocks Today >>",0.9996,0.670437037037037
2019-03-30,https://news.yahoo.com/f-111-aardvark-strike-aircraft-180000977.html,The F-111 Aardvark: The Strike Aircraft That Was Dumped for the F-15 Eagle,-0.4939,"The F-111’s additional range allowed it to be strategically flexible. F-111s based in the United Kingdom were used to strike Libya during Operation El Dorado in 1986. The range was also greatly appreciated by Strategic Air Command, which fielded a the FB-111 variant as a strategic bomber. In that role, the F-111 was only replaced by the B-1 Lancer.",0.7778,-0.02603846153846153
2019-03-22,https://finance.yahoo.com/news/3-blue-chip-stocks-buy-203608411.html,3 Blue-Chip Stocks to Buy Right Now,0.0,"The S&P 500 has surged over 14% in 2019, driven by growth from tech giants such as Netflix NFLX, Facebook FB, and Amazon AMZN. With that said, no matter how long the current rally lasts, it is always a good idea to search for strong companies that look poised to run impressive businesses for years to come. ",0.9136,0.369591304347826
2019-03-16,https://finance.yahoo.com/news/three-key-risks-fb-financial-140104591.html,Three Key Risks For FB Financial Corporation (NYSE:FBK) You Should Know,-0.2732,"Post-GFC recovery has led to improving credit quality and a strong growth environment for the banking sector. As a small-cap bank with a market capitalisation of US$1.1b, FB Financial Corporation’s (NYSE:FBK) profit and value are directly affected by economic growth. This is because borrowers’ demand for, and ability to repay, their loans depend on the stability of their salaries and interest rates. Risk associated with repayment is measured by bad debt which is written off as an expense, impacting FB Financial’s bottom line. Since the level of risky assets held by the bank impacts the attractiveness of it as an investment, I will take you through three metrics that are insightful proxies for risk.",0.9313,-0.003948275862068965
