dates,url,title,scores
2019-03-14,https://www.businessinsider.com/tesla-model-y-price-predictions-2019-3,Tesla is about to reveal the Model Y — here's how much it could cost (TSLA),0.059745454545454546
2019-04-08,https://www.businessinsider.com/tesla-mercedes-benz-autonomous-car-gaming-2019-4,"Gaming will be a key differentiator in autonomous vehicles (TSLA, DDAIF, AUDVF, PONGF)",0.3182
2019-04-05,https://www.businessinsider.com/tesla-stock-price-to-plunge-80-biggest-bear-says-2019-4,Wall Street's biggest Tesla bear says shares are going to crater 80% to $54 (TSLA),-0.15552307692307693
2019-03-19,https://www.businessinsider.com/stock-market-news-opening-bell-march-19-2019-2019-3,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA, TLRY)",0.0
2019-03-12,https://www.businessinsider.com/tesla-stock-price-elon-musk-electric-car-maker-demand-slowdown-2019-3,"Tesla is facing an 'air pocket' in demand earlier than expected, Morgan Stanley says (TSLA)",-0.1097
2019-03-15,https://www.businessinsider.com/teslas-financial-problems-return-2019-2019-3,Wall Street is worried that Tesla's going broke yet again (TSLA),0.016917187500000007
2019-03-18,https://www.businessinsider.com/tesla-model-y-crossover-suv-2019-3,Tesla's Model Y pulls from the Model 3's playbook (TSLA),0.35530952380952385
2019-03-20,https://www.businessinsider.com/nvidia-expands-av-tech-footprint-2019-3,"Why Nvidia is broadening its AV portfolio (NVDA, TSLA, TM, VLVLY, AUDVF)",0.13939374999999998
2019-04-04,https://www.businessinsider.com/tesla-elon-musk-sec-court-hearing-live-2019-4,LIVE: Elon Musk has arrived at court to face off against the SEC (TSLA),-0.011375609756097563
2019-04-09,https://www.businessinsider.com/tesla-senior-director-of-global-security-leaves-company-2019-4,Tesla's senior director of global security has left the company (TSLA),0.23828571428571424
2019-03-30,https://www.businessinsider.com/tesla-proof-next-20-years-in-tech-industry-wont-be-like-last-20-2019-3,Tesla is proof that the next 20 years in the tech industry won't be like the last 20 (TSLA),0.006987999999999997
2019-03-22,https://www.businessinsider.com/stock-market-news-opening-bell-march-22-2019-2019-3,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA, BA, NKE, LEVI)",0.0
2019-03-18,https://www.businessinsider.com/stock-market-news-opening-bell-march-18-2019-2019-3,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA, F, WP, FIS)",0.4084
2019-04-05,https://www.businessinsider.com/stock-market-news-opening-bell-april-5-2019-2019-4,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA, BA, AMZN, TW)",0.07284285714285714
2019-03-27,https://www.businessinsider.com/elon-musk-emails-tesla-employees-closing-retail-stores-2019-3,Elon Musk just emailed all Tesla employees to 'clear things up' about the company's plan to close stores (TSLA),0.027938095238095248
2019-03-21,https://www.businessinsider.com/tesla-sues-former-employees-zoox-alleging-theft-of-confidential-info-2019-3,"Tesla is suing former employees, accusing them of stealing confidential information and giving it to robo-taxi rival Zoox (TSLA)",-0.195065
2019-03-19,https://www.businessinsider.com/tesla-factory-workers-lost-more-time-injury-and-illness-2018-2019-3,Tesla factory workers took twice as many days off last year than in 2017 because of injury or sickness (TSLA),-0.4215
2019-03-15,https://www.businessinsider.com/tesla-model-y-design-and-specs-details-2019-3,The Tesla Model Y has staggering specs — but it isn't a major new design for Tesla (TSLA),0.032873333333333345
2019-03-12,https://markets.businessinsider.com/news/stocks/stock-market-news-opening-bell-march-12-2019-2019-3-1028022340,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA, BA, AAPL, WFC, SFIX)",0.067104
2019-04-04,https://www.businessinsider.com/elon-musk-says-he-will-probably-settle-with-sec-in-next-2-weeks-2019-4,Elon Musk said he'll probably reach a new settlement with the SEC in the next 2 weeks (TSLA),-0.1703807692307692
2019-03-31,https://www.businessinsider.com/nio-es8-tesla-model-x-comparison-photos-specs-2019-3,"Nio is Tesla's biggest competitor in the Chinese electric-vehicle market — here's how its ES8 SUV compares with Tesla's Model X (NIO, TSLA)",0.08733428571428573
2019-03-12,https://www.businessinsider.com/musk-response-to-contempt-of-court-2019-3,"MUSK FILES HIS DEFENSE: Says SEC seeks to violate his First Amendment rights, and its filing 'smacks of retaliation and censorship' (TSLA)",-0.07181999999999998
2019-03-15,https://www.businessinsider.com/tesla-stock-price-model-ys-impact-on-model-3-according-to-analysts-2019-3,Wall Street is warning Tesla's new SUV could 'cannibalize' its Model 3. Here's what analysts are saying about the Model Y. (TSLA),-0.007012000000000005
2019-03-27,https://www.businessinsider.com/elon-musk-and-sec-battle-timeline-2019-3,Elon Musk and the SEC are in a nasty battle over one of Musk's tweets — here's what you need to know about their dispute (TSLA),-0.105105
2019-03-11,https://www.businessinsider.com/former-tesla-employee-files-whistleblowing-tip-with-sec-2019-3,A former Tesla employee has filed a whistleblowing tip with the SEC alleging that Tesla workers were skeptical of the deal mentioned in Elon Musk's 'funding secured' tweet (TSLA),0.06447272727272726
2019-03-18,https://www.businessinsider.com/tesla-stock-options-trade-recommendation-investors-overlooking-elon-musk-legal-woes-jpmorgan-2019-3,JPMORGAN: Tesla investors are ignoring the possibility that CEO Elon Musk will be forced out. Here's how they can protect against that worst-case scenario.,-0.00034000000000000767
2019-04-03,https://www.businessinsider.com/tesla-to-host-autonomy-investor-day-april-19-2019-4,Tesla will host an 'autonomy investor day' this month (TSLA),-0.08470833333333333
