Dates,Labels,yahoo_content_scores,yahoo_title_scores,yahoo_firstP_scores,businessinsider_content_scores,businessinsider_title_scores,businessinsider_firstP_scores,marketwatch_content_scores,marketwatch_title_scores,marketwatch_firstP_scores,title_scores,firstP_scores,content_scores
3/11/19,1,0.030807061,0.210925,-0.135050298,0.046631331,0.035055556,-0.186566667,0.055809712,-0.005008333,-0.134272192,0.080324074,-0.151963052,0.044416035
3/12/19,0,0.181648189,0.057957143,0.022011429,-0.053010128,-0.098607143,-0.260715476,-0.018476214,-0.042653846,-0.093192051,-0.027767949,-0.110632033,0.036720616
3/13/19,0,0.182008978,-0.017933333,-0.034797315,0.00187039,-0.141046154,-0.060507692,0.045122632,-0.124728571,-0.091151525,-0.094569353,-0.062152177,0.076334
3/14/19,0,0.267459259,0.14935,0.1257,0.018857794,-0.153325,-0.0912625,0.086148797,-0.0659625,-0.019409583,-0.0233125,0.005009306,0.124155283
3/15/19,1,0.349376798,0.16252,0.398445,0.027857143,0,-0.0903,0.1897375,-0.062233333,0.158423333,0.033428889,0.155522778,0.18899048
3/18/19,1,0.231600745,0.124988889,0.277251852,-0.063584395,-0.1485,0.1084625,0.072742684,-0.1217,-0.000282778,-0.048403704,0.128477191,0.080253011
3/19/19,1,0.253102727,0.260075,0.106994444,0.103584881,0.1405,-0.2106,0.10160828,-0.03176,-0.118532121,0.122938333,-0.074045892,0.152765296
3/20/19,1,0.343860563,0.3182,0.4869,0,0,0,0.102366667,0,0.034533333,0.106066667,0.173811111,0.14874241
3/21/19,0,0.108789812,-0.0875,0.095625,-0.102023314,0.015825,0.1752625,0,0,0,-0.023891667,0.090295833,0.002255499
3/22/19,0,0.154834757,0.15602,0.052348333,-0.000806261,-0.042666667,-0.0168,0.002901429,0.3774,0.00425,0.163584444,0.013266111,0.052309975
3/25/19,1,0.121380896,0.133916667,0.008561111,-0.038719786,-0.31382,0.06991,0.048688889,-0.34,0.037733333,-0.173301111,0.038734815,0.043783333
3/26/19,0,0.176641915,0.041757143,0.157342143,-0.078274704,-0.19074,-0.1555,-0.023664347,-0.224525,-0.053766667,-0.124502619,-0.017308175,0.024900955
3/27/19,1,0,0,0,0,0,0,0.011742361,-0.2997,-0.125928333,-0.0999,-0.041976111,0.00391412
3/28/19,0,0.289990087,-0.0326,0.139975,0.227072727,-0.3612,0.34,0.080847368,0,-0.8271,-0.131266667,-0.115708333,0.199303394
3/29/19,1,0,0,0,0.107263636,0.4221,0.0107,0,0,0,0.1407,0.003566667,0.035754545
4/1/19,1,0,0,0,0,0,0,0.200526984,0,0.217914286,0,0.072638095,0.066842328
4/2/19,1,0.154255348,0.06315,0,0.010551736,0.04255,0.1297125,0,0,0,0.035233333,0.0432375,0.054935695
4/3/19,0,0.114450369,0.48325,-0.184916667,-0.023883333,-0.38915,-0.03075,0.160388051,0.391833333,0.020081111,0.161977778,-0.065195185,0.083651696
4/4/19,1,0.295273099,0.23835,0.558033333,-0.062311425,-0.180025,-0.214925,-0.027860913,-0.2253,-0.126710417,-0.055658333,0.072132639,0.06836692
4/5/19,0,0.065081684,0.32276,-0.021276667,-0.058682955,-0.2605,-0.2939125,-0.010081818,-0.2846,-0.05778125,-0.074113333,-0.124323472,-0.001227696
4/8/19,0,0.070225796,0.04014,0.36148,-0.024230303,-0.042666667,-0.066983333,0.058827722,0.058614286,-0.092084286,0.018695873,0.067470794,0.034941072
4/9/19,0,0.090747967,-0.189475,0.0676675,-0.067931905,-0.51915,-0.21585,-0.015669619,-0.097783333,-0.144321429,-0.268802778,-0.09750131,0.002382148
